Index,Index1,Comments
290,12932,IT&#39;S NOT A WAR PIERS
291,12957,"SHAME ON YOU, PIERS!"
292,12969,Love tateeeeee
293,13023,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=15m30s"">15:30</a>"
294,13073,Wow.
295,13122,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m10s"">12:10</a> tate nailed"
296,13201,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=26m54s"">26:54</a>"
297,13227,Tate ur not professional
298,13313,A Man!
299,13357,Rare tate L
300,13367,assissinities
301,13404,Simply say
302,13421,TOP G
303,13485,omg
304,13517,Part one?
305,13604,So fragile
306,13606,Yes.
307,13633,😂
308,13649,May 1947
309,13690,Not helpful
310,13762,Angry Tate....
311,13782,W
312,13787,Top G great man
313,13793,Top g
314,13844,Anh
315,14040,Tate makes sense.
316,14057,Pears Roasted again
317,14082,John 1:1
318,14142,Min 23 😂😂
319,14165,Win Top G
320,14183,Like for Tate
321,14199,BIG RESPECT!!!
322,14205,L host
323,14288,Tates right
324,14366,PIERS IS OUT OF HIS LEAGUE HERE
325,14375,2037
326,14406,1024
327,14490,Piss Morgan...
328,14540,Top G
329,14571,Tate W
330,14701,Great response
331,14774,Top G orders 😂😂😂
332,14795,Tate 1-0.
333,14798,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=23m15s"">23:15</a> hahahahaa"
334,15085,Tate a G
335,15094,Top g
336,15221,My love for Tate
337,15311,God mode
338,15334,I SEE NO HUMANITY
339,15346,ISNOTREAL IS THE TERRORISTS
340,15384,L tate.
341,15425,PIERS IS A WISE MAN
342,15446,EDIOT
343,15519,Top g
344,15585,Top G
345,15595,"nice turning point<br> <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=19m00s"">19:00</a>"
346,15719,PIERS IS AN INFORMATION SCAM
347,15737,Tate respect
348,15762,Coked up
349,15834,FREE ISRAEL
350,15867,Bravo Tate
351,15871,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m23s"">14:23</a> Oh clearly Not"
352,15887,Rare Tate L.
353,15898,&quot;
354,15906,1948
355,15907,1984
356,15975,Top G&#39;d
357,15997,Top G! Top G!
358,16026,Crap
359,16033,Pressure Cookers Explode. Bottom line.
360,16075,Top G
361,16116,THE PROGRAM SHOULD BE CALLED &quot;DO YOU CONDEMN HAMAS&#39; ACTIONS?&quot;
362,16138,All hail Tate!
363,16155,He Talks like a Lion
364,16156,Long live Tate!
365,16179,Top G &gt;&gt;&gt;&gt;&gt; Bassem Yousef
366,16185,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=4m10s"">4:10</a> win"
367,16191,Go Tate
368,16194,Go Tate
369,16198,Go Tate
370,16251,FREE PALESTINE
371,16284,😀
372,16423,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=0m25s"">0:25</a> FACTS"
373,16424,PLEASE LOOK UP THE &quot;HANNIBAL&quot; DOCTRINE OF ISRAEL!!!!!!!!
374,16477,"PIERS LIED IN EVERY STATEMENT, OH MY GOD"
375,16577,Bravo Tate
376,16621,Based Tate
377,16638,Top G
378,16658,I love tate.
379,16751,Mr  7th October
380,16793,Great interview
381,16910,Top G
382,16954,Top G
383,16997,😂😂
384,17031,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m50s"">22:50</a> Love top G"
385,17041,Tate for president
386,17059,peace maker - hahahahahaha
387,17132,Bravo Tate
388,17133,111k likes 🙏
389,17184,OMG.... PIERS IS SO SHILLING TO ISRAEL....<br>IT&#39;S INSANE.... HAHAHAHHA<br><br>I DONT SURPRISE PIERS ALSO BELIEVE 9/11 WASN&#39;T AN INSIDE JOB<br>A PLANE THAT CAN DESTROY A WHOLE STEEL BUILDING <br>LMAO GIVE ME A BREAK!!
390,17191,OPPRESSION LEADS TO REBELLION....
391,17201,APARTHEID IS PURE EVIL ...
392,17202,w tate
393,17230,TOP G. !!!!!!
394,17242,Love mr tate
395,17288,Top G
396,17363,L tate
397,17419,Asanity??
398,17423,But... why?
399,17437,THERE HAS NEVER BEEN A PALESTINIAN STATE
400,17513,Real man
401,17590,Lol Tate owned him.
402,17641,YES OR NO
403,17645,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=31m17s"">31:17</a>"
404,17710,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m30s"">14:30</a>"
405,17769,MIKO PELED - THE GENERAL&#39;S SON
406,17910,@omaraburob
407,17999,BS
408,18009,THIS IS THE END OF TIMES REALLY....
409,18010,Interesting interview
410,18078,PIERS! STOP FUCKIN INTERRUPTING!!!!
411,18100,TopG.
412,18149,Top champion
413,18153,Or
414,18249,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m26s"">14:26</a>"
415,18265,FREE PALESTINE
416,18292,"Welp argument over <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m49s"">22:49</a>"
417,18312,Top G
418,18389,REMEMBER THIS  NOT THE UK BUT THE SOVIETS DESTROYED THE NAZZIS
419,18393,100 percent
420,18397,Love
421,18399,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=28m45s"">28:45</a>"
422,18443,Thanks Tate for your bravery
423,18454,common Tate W
424,18573,Tate for President.
425,18579,FREE PALESTINE
426,18614,Top G😙😙
427,18628,Top G speaking facts
428,18630,Top G
429,18672,😂😂😂😂
430,18682,I love adrew
431,18789,😂😂😂😂😂
432,18817,Fake news
433,18818,😂😂😂I love it
434,18959,"@<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=4m45s"">4:45</a>"
435,18977,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=29m00s"">29:00</a>"
436,19041,Based Tate!
437,19226,Peanut Morgan
438,19300,&quot;DO YOU CONDEMN WHAT HAMAS DID ON THE OCOTBER OF 7TH?!&quot; <br>lol
439,19344,Free Palatine
440,19359,lol
441,19369,Top G
442,19375,Top G
443,19379,PIERS MORGAN
444,19473,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=3m53s"">3:53</a>"
445,19527,WHY DO YOU LOVE OCTOBER 7th. WHY DON’T YOU ANSWER THE FOLLOWING DAYS
446,19559,WEST BANK=NO HAMAS.
447,19561,DO YOU CONDEMN THE TORTURE AND KIDNAPPING OF PALESTINIAN CHILDREN FROM THE WEST BANK.
448,19608,Flop G
449,19886,Top G For A Reason <br><br>My G
450,19893,Rare Tate L
451,19901,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=26m55s"">26:55</a> lolz"
452,19913,top g
453,19923,Go tate
454,19940,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m46s"">18:46</a>"
455,19971,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m48s"">22:48</a> <br>Tate had him"
456,19982,Top g
457,20009,brave man
458,20105,Tates first L
459,20106,Viva top g
460,20117,is tate wearing lipstick 😂
461,20301,Extremely professional
462,20347,ISRAELI BIGGEST PROBLEM NOT ENOUGH WOMEN IN GOVERNMENT....
463,20421,Top G
464,20443,Top g
465,20483,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=0m57s"">0:57</a>"
466,20575,top g..
467,20690,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m50s"">22:50</a> gottem"
468,20732,Team Tate
469,20850,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m52s"">22:52</a> - 23 : G E N I U S"
470,20862,Nonsense
471,20906,Tate L
472,20919,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=21m47s"">21:47</a>"
473,21027,Top G
474,21094,TATE IS GODSENT TO OPPOSE THE DEVILISH THINGS....AS MUCH AS TATE CAN DO
475,21102,"HE MAKE MONEY FOR WAR, THIS MAN IS DANGER"
476,21108,Lmao
477,21132,Great show!
478,21133,Top G won
479,21227,TATE WIN EZ
480,21314,However 😂
481,21332,Thank you
482,21375,ITS NOT WAR ITS GENOCIDE.
483,21430,respect topg
484,21449,Assineties
485,21476,Blame Game
486,21525,"READ THE COMMENT PIERS , YOU ARE VERY DELUTED AND HYPROCITE"
487,21634,Asininities On top G’s orders!😂
488,21656,Common Tate W
489,21674,"Bravo Adrew Tate ,"
490,21676,Top G
491,21698,tate L
492,21740,Top G!!
493,21764,God I love Tate
494,21866,Top g
495,21880,Top G
496,21907,Rare Tate L
497,21964,FREE PALESTINE
498,21993,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m50s"">2:50</a> LMAO"
499,22015,TOP G LOVE YOU 4EVER
500,22032,L Tate
501,22046,Money slave
502,22054,hannibal !!!!
503,22060,My G
504,22062,Tate wins
505,22069,😂
506,22171,FREE PALESTINE
507,22182,Tate L
508,22185,Top G
509,22203,"PIERCE MORGAN,DO YOU CONDEM 15 MAY 1948"
510,22240,Tate L
511,22307,Beast interview
512,22314,Great interview!!!
513,22331,Tate for president
514,22357,Great Tate.
515,22369,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m37s"">14:37</a>..."
516,22589,Shame on Tate
517,22609,Islam in Brain out
518,22646,Straight facts!!!
519,22691,Jenin
520,22730,Top g
521,22809,Powerful
522,22814,Interesting
523,22884,Love Tate
524,22896,Top G orgs
525,22897,Tate a goof
526,22901,TATE YOU ARE KING
527,22917,Wow ! Lfg Tate!
528,22968,TATE IS THE BEST!!!
529,22980,STOP BOMBING GAZA
530,23068,Tate Rocks
531,23082,Top GGGGG
532,23098,😔A MILLION OCT 7 OCCURRED FOR 75 YEARS  AND WE WERE SILENT SO THE SO CALLED CIVILIZED WORKD IS RESPONSIBLE FOR OCT 7 MORGAN😔
533,23151,Top G
534,23177,J
535,23248,Top G
536,23260,TOP G respect Button &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
537,23268,Master class
538,23280,Thanks Top G
539,23324,Top G
540,23326,Yes
541,23335,TATE IS THIER NIGHTMARE
542,23395,True TOP G!
543,23461,wHO IMPRISONED THEM? THE ARAB COUNTRIES IMPRISON THEM !! NOT ISRAEL
544,23462,Very professional
545,23515,Rare Tate L
546,23551,Part 3!!!!
547,23588,Thank you Top G.
548,23726,MR. PIERS DO YOU CONDEMN ISRAEL FOR WHAT THEY DID ON OCTOBER 7 THE KILLED THEIR OWN PEOPLE
549,23773,OMG HE&#39;S  NUTS
550,24019,Top G
551,24106,Wow
552,24137,AND THATS WHY HE IS THE TOP G
553,24150,is-rae-l crimi-nals
554,24152,Do one Tate osshead
555,24191,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m22s"">14:22</a> Tates response"
556,24267,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=25m59s"">25:59</a>"
557,24275,1917: Balfour !! !948 !!
558,24288,Controlled
559,24292,Top G
560,24320,WTF
561,24397,he&#39;s insane
562,24399,danko Tate
563,24408,Tate Vs. Tw*t
564,24419,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=21m28s"">21:28</a> THISSS"
565,24456,cool
566,24458,Tate for president
567,24465,complete goose
568,24623,Thanks top G
569,24626,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=2m48s"">2:48</a> LMAOOO HAHA"
570,24683,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m32s"">14:32</a>"
571,24732,Tate HUGE W
572,24740,Tate W
573,24799,Top G
574,24800,Tate for president 😂
575,24894,HIPPO PIERS L !
576,24910,FREE PALESTINE
577,24987,TOP G
578,25009,"Mr. Tate, I respect you"
579,25040,Top G
580,25096,News Flash:  HAMAS IS WORSE THAN EVIL.
581,25112,Top G ........ Great Job
582,25122,Top G
583,25180,My Top G .. Good Job
584,25207,😂😂😂
585,25233,Top G
586,25238,"&quot;THE WORLD IS NOT BLACK AND WHITE, IT&#39;S ACTUALLY VERY GRAY&quot;"
