Index,Comments
16424,PLEASE LOOK UP THE &quot;HANNIBAL&quot; DOCTRINE OF ISRAEL!!!!!!!!
16477,"PIERS LIED IN EVERY STATEMENT, OH MY GOD"
16577,Bravo Tate
16621,Based Tate
16638,Top G
16658,I love tate.
16751,Mr  7th October
16793,Great interview
16910,Top G
16954,Top G
16997,😂😂
17031,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m50s"">22:50</a> Love top G"
17041,Tate for president
17059,peace maker - hahahahahaha
17132,Bravo Tate
17133,111k likes 🙏
17184,OMG.... PIERS IS SO SHILLING TO ISRAEL....<br>IT&#39;S INSANE.... HAHAHAHHA<br><br>I DONT SURPRISE PIERS ALSO BELIEVE 9/11 WASN&#39;T AN INSIDE JOB<br>A PLANE THAT CAN DESTROY A WHOLE STEEL BUILDING <br>LMAO GIVE ME A BREAK!!
17191,OPPRESSION LEADS TO REBELLION....
17201,APARTHEID IS PURE EVIL ...
17202,w tate
17230,TOP G. !!!!!!
17242,Love mr tate
17288,Top G
17363,L tate
17419,Asanity??
17423,But... why?
17437,THERE HAS NEVER BEEN A PALESTINIAN STATE
17513,Real man
17590,Lol Tate owned him.
17641,YES OR NO
17645,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=31m17s"">31:17</a>"
17710,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m30s"">14:30</a>"
17769,MIKO PELED - THE GENERAL&#39;S SON
17910,@omaraburob
17999,BS
18009,THIS IS THE END OF TIMES REALLY....
18010,Interesting interview
18078,PIERS! STOP FUCKIN INTERRUPTING!!!!
18100,TopG.
18149,Top champion
18153,Or
18249,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m26s"">14:26</a>"
18265,FREE PALESTINE
18292,"Welp argument over <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m49s"">22:49</a>"
18312,Top G
18389,REMEMBER THIS  NOT THE UK BUT THE SOVIETS DESTROYED THE NAZZIS
18393,100 percent
18397,Love
