Index,Index1,Comments
478,4957,Voice*
479,4963,Perverts:WHY DIDNT YOU KEEP YOIR CAMERA ON AND POINTING AT THE SHOWER WHEN YOU WERE TAKING A SHOWER T-T
480,4968,&quot;HIII HARRYYYYY!!!&quot;
481,4978,Hi blog
482,4989,Wow
483,5001,Oooop
484,5008,"<a href=""https://youtu.be/FalbTUE2lwU"">https://youtu.be/FalbTUE2lwU</a>"
485,5016,Good morning lolll cute
486,5031,Hellou kilie
487,5043,more vlogss kylie&lt;3
488,5045,Green
489,5046,Green
490,5047,Green
491,5048,Green
492,5049,Hahahaha
493,5050,Blow up
494,5051,Gay
495,5052,Gay
496,5053,Gay
497,5054,Gay
498,5055,Gay
499,5056,Gay
500,5057,Your gay
501,5061,😘😘😘
502,5073,I a fan
503,5074,Hi
504,5078,"<a href=""https://youtu.be/c-4v93LFiy0"">https://youtu.be/c-4v93LFiy0</a>"
505,5080,Hi
506,5083,Hi  Kylie
507,5089,Good
508,5096,"Wicked <a href=""http://one.save/"">one.save</a> it.risky"
509,5116,"<a href=""https://youtu.be/iUniLWGRsAc"">https://youtu.be/iUniLWGRsAc</a> ,,"
510,5145,Cool
511,5153,Plastic girl
512,5162,"<a href=""https://youtu.be/bEvSq1whm-k"">https://youtu.be/bEvSq1whm-k</a>"
513,5174,AHHHHHHHHHHHHHHHHHH THE SCENE WITH JOSE WAS THE FUNNIEST THING EVER IM DYING LMFAOOOOOOOOOOOOOOOOOO
514,5177,Fjhdhtfsdhi
515,5178,Love you
516,5200,Kylie: VLOG<br>Kris: BLOG<br>Kylie: MOOOOMMMMYYYYYYYY
517,5202,I love you kylie
518,5227,Happy Birthday
519,5238,I love your outfit kylie
520,5246,Hi
521,5249,100% Plastic
522,5257,cute
523,5258,Nice
524,5259,https://youtu.be/rpsH1Prhza4
525,5260,https://youtu.be/rpsH1Prhza4
526,5261,https://youtu.be/rpsH1Prhza4
527,5262,https://youtu.be/rpsH1Prhza4
528,5263,https://youtu.be/rpsH1Prhza4
529,5264,https://youtu.be/rpsH1Prhza4
530,5265,https://youtu.be/rpsH1Prhza4
531,5266,https://youtu.be/rpsH1Prhza4
532,5267,https://youtu.be/rpsH1Prhza4
533,5268,https://youtu.be/rpsH1Prhza4
534,5269,https://youtu.be/rpsH1Prhza4
535,5270,https://youtu.be/rpsH1Prhza4
536,5271,https://youtu.be/rpsH1Prhza4
537,5272,https://youtu.be/rpsH1Prhza4
538,5273,https://youtu.be/rpsH1Prhza4
539,5274,https://youtu.be/rpsH1Prhza4
540,5275,https://youtu.be/rpsH1Prhza4
541,5281,shut up
542,5290,AND KARDASIAN IS PRETTY
543,5291,AND STORMI PRETTY
544,5295,Gosh I love Ariel
545,5302,THIS SHOWS ME I AM BROKEEE!
546,5304,I love you Kylie
547,5312,Happy birthday arriel
548,5329,"<a href=""https://youtube.com/channel/UCMOvtGc7tj5HJ6dwCADrxTA"">https://youtube.com/channel/UCMOvtGc7tj5HJ6dwCADrxTA</a>"
549,5345,&quot;Glog&quot;
550,5346,Beauty
551,5350,"<a href=""https://youtu.be/h_oubvBX_rI"">https://youtu.be/h_oubvBX_rI</a>"
552,5351,So cute
553,5355,Hi
554,5364,Xd
555,5365,Xd
556,5366,Xd
557,5367,Xd
558,5368,Xd
559,5385,Areee bc kiti ads
560,5398,i love you kylie!
561,5414,Jose
562,5415,GIRL I LOVE YOU SO MUCH
563,5419,i love you
564,5421,SOOOOOO MANY BAGS
565,5437,I love you
566,5471,great !!!!
567,5479,Love it
568,5483,Y love
569,5499,"*_6%=^4,^3$3/=+"
570,5557,Love you kylie
571,5589,Hiiiiii
572,5606,2022??
573,5608,Jai
574,5644,“GLOG”
575,5667,happy 2021
576,5696,I love
577,5698,AAAAAAAAA
578,5709,OMG*
579,5715,Me favorite
580,5755,WHJEJWIWIWIWWI
581,5776,Love you
582,5784,kajly superrrrrrrrrrr
583,5815,Hi glog
584,5822,Omg I love you Kylie
585,5867,Hii
586,5870,"<a href=""https://youtu.be/yz95mLpz5Bs"">https://youtu.be/yz95mLpz5Bs</a>"
587,5872,E
588,5874,.
589,5899,Hi. Kylie
590,5908,Thanks
591,5916,I love you
592,5920,<b>AND I CAN&#39;T EVEN AFFORD TO WATCH THIS VIDEO</b>
593,5932,wish my life like Kylie
594,5949,AAAAAAAAAAAAAAA
595,5952,.
596,5957,Hi
597,5979,Love you so much
598,5998,i love
599,6000,i love kylie
600,6005,"tip:<br>speed 1,5x"
601,6012,Hi Kylie!
602,6013,Hola
603,6021,Plastic sisters
604,6024,=]]
605,6037,For you
606,6095,ok
607,6099,wow
608,6106,"<a href=""https://youtu.be/d2_Zcoe7cDk"">https://youtu.be/d2_Zcoe7cDk</a>"
609,6114,Overacting
610,6123,WE NEED ANOTHER PART
611,6137,https://youtu.be/OmYKGP-5tx4
612,6147,I love kylie
613,6165,&quot;It&#39;s Your <b>*****</b> birthday
614,6199,Tinker bell
615,6219,"ce214378@<a href=""http://gmail.com/"">gmail.com</a>"
616,6221,SOOOOOO CUTE !!!!!!!!!!!
617,6254,"ce214378@<a href=""http://gmail.com/"">gmail.com</a>"
618,6278,"<a href=""https://youtu.be/fLT02ZoNDvM"">https://youtu.be/fLT02ZoNDvM</a>"
619,6293,"<a href=""https://youtu.be/D4rhHXZlG4I"">https://youtu.be/D4rhHXZlG4I</a>"
620,6325,wwo  wey          wooooooo             nomames
621,6333,Mama
622,6335,"ce214378@<a href=""http://gmail.com/"">gmail.com</a>"
623,6337,dam girl
624,6346,Toooooooop
625,6380,I love you Kylie
626,6432,I love you!!🐙🐙
627,6444,PLEASE MAKE MORE!
628,6446,YOU GO GIRLS P.S CUTE OUTFIT LOVING IT!!!
629,6452,A clear purse 😂😂😂
630,6464,Storming 8s so cute
631,6472,"<a href=""https://youtu.be/d-s6ynPkldQ"">https://youtu.be/d-s6ynPkldQ</a>"
632,6485,"<a href=""https://youtu.be/GLsCeqH3BZw"">https://youtu.be/GLsCeqH3BZw</a>"
633,6495,hhq
634,6498,"<a href=""https://youtu.be/mS04x2LG9cs"">https://youtu.be/mS04x2LG9cs</a>"
635,6512,She’s so fresh
636,6515,https://youtu.be/efzUXem2D2E?t=197
637,6528,loveeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
638,6543,"<a href=""https://www.youtube.com/watch?v=I7KtyxmVV5A&amp;ab_channel=TMGRecordsChannel"">https://www.youtube.com/watch?v=I7KtyxmVV5A&amp;ab_channel=TMGRecordsChannel</a>"
639,6544,Oop
640,6545,2021?
641,6546,nobody:<br>AAAAAA!!!!!! ARIEEL!!!!! AAAAAAAAAAAAAAAAAAAA!!!!!!!!!!!!!!!!!!!
642,6559,Speaker Spanish
643,6560,"<a href=""https://youtu.be/fHe08cscs-0"">https://youtu.be/fHe08cscs-0</a>"
644,6568,More vlogs pls
645,6570,happy 2021
646,6571,happy 2021
647,6585,.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>.<br><br><br><br><br><br><br><br><br><br>..<br><br><br><br><br>.................   ................... .....................<br>................<br>...............<br>...............<br>.............<br>............<br>..<br>.<br>..................<br><br><br><br><br><br>.
