Index,Comments
6687,Hi
6689,i love you so much Kylie
6710,Same
6753,OMG soo cute
6784,"<a href=""https://youtu.be/lBfQRcAIA2k"">https://youtu.be/lBfQRcAIA2k</a>"
6785,https://youtu.be/07kcCjiGbXw
6789,notice me bae
6790,HEYY !!
6793,mwahhh
6794,i love your makeup !!
6816,stormi&#39;s mind:LEAVE ME ALONE I DO NOT WANT KISSES I WANNA WACH ELMO
6833,PLEASE DO ANOTHER ONE OF THESE VDEOSSS
6842,Baby
6870,I Love you
6873,"<a href=""https://youtu.be/qcKgl_FtjK0"">https://youtu.be/qcKgl_FtjK0</a>"
6877,Go  Kylie
6889,I love  you kylie
6915,OMG HAHAHAHAH
6940,makeup artist/ friend
6957,Hi Harry?
6965,Hi
6985,😂
6998,https://www.youtube.com/watch?v=i_cQRII7DTo&amp;t=1s
7004,exactly
7035,Nikita omg
7037,Stormi!!!!!!!
7041,nice
7090,&quot;glog&quot;
7117,Hi
7128,Kylie: Hi Harry....<br>Me :OK.
7131,"<a href=""https://youtu.be/8zNVwvMGTOc"">https://youtu.be/8zNVwvMGTOc</a>"
7160,HI kylie
7171,OHMY GOSH STORMI HAHAHAHA SO CUTE!
7192,"<a href=""https://youtu.be/tbSFxSc9DGE"">https://youtu.be/tbSFxSc9DGE</a>"
7194,%100 natural
7211,4 :10 WHAT IS THE SONG NAME ?
7230,STORMI&#39;S GLASSES YESSSS
7269,Tus carros
7283,HIIIIIIIII
7287,(Vlog)<br>Blog<br>(Vlog)<br>Glog
7292,I like her nails forever
7306,DONE
7330,i love you so much
7357,STORMI IS SOOOO CUTE!
7365,PPLEASE FORRRR MORE I LOVE UUU&lt;333
7369,https://youtu.be/7VjDIBEuDeU
7395,Love Kylie
7419,U r my fav
7450,i love you
7457,",,selfmade,,"
7499,CALLED ME POOR IN 1000000000000000 WAYS
7523,https://youtube.com/shorts/xmwcmMmTc30
7524,https://youtube.com/shorts/xmwcmMmTc30
7525,https://youtube.com/shorts/xmwcmMmTc30
7526,https://youtube.com/shorts/xmwcmMmTc30
7527,https://youtube.com/shorts/xmwcmMmTc30
7528,https://youtube.com/shorts/xmwcmMmTc30
7550,OMG! I LOVVVVVE YOUR HOME! YOUR WALK IN CLOSET!
7560,Love you  kylie
7573,Hola
7575,Nice
7578,Hi Kylie
7583,"<a href=""https://youtu.be/bTgMrffpOak"">https://youtu.be/bTgMrffpOak</a>"
7598,Hola
7599,I love you
7607,Your a great mum
7609,.
7630,I love you stormi
7631,I love you
7638,THE &#39;hi&#39; PLEASEEEE
7667,A
7672,Nikita?
7676,hola
7696,Hai
7710,Ridiculous.
7749,@
7760,😘
7767,Soooo much
7778,Dont scream
7779,Mine.
7780,Mine.
7781,Mine.
7783,"<a href=""https://www.youtube.com/watch?v=BO1lJDv4EGI"">https://www.youtube.com/watch?v=BO1lJDv4EGI</a>"
7798,Go
7799,Stay.
7800,Stay.
7801,Go
7802,Go
7803,Sleep.
7808,Stop
7810,Bad girl
7811,Stop
7812,Go
7813,Pls
7814,Sleep.
7815,Go
7816,Go
7818,Pls
7819,Sleep.
7824,Mine
7825,Watch
7841,Hb
7852,Hai
7864,LOVE YOU STORMY AND YOU
7867,ok
7879,"<a href=""https://youtu.be/lFziSAc-BvM"">https://youtu.be/lFziSAc-BvM</a>"
7894,BEST LIFESTYLE
7900,Classs
7905,POOR LITTLE RICH GIRL.....
7919,"<a href=""https://youtu.be/fuAHB-PDLnE"">https://youtu.be/fuAHB-PDLnE</a>"
7920,E
7921,I
7922,L
7923,Y
7924,K
7929,I love you so much
7934,Luckiest girl
7971,STORMI DONT WAKE UP AT 5 : 30 ITS BAD FOR U
7972,"<a href=""https://youtu.be/DhVTkv4uac0"">https://youtu.be/DhVTkv4uac0</a>"
7976,Love you
7978,Iove you
7981,stromi look so cute
7999,I love
8009,Me
8018,HARRY STYLES???????????????
8025,you love
8031,i love  you   kylie
8036,"<a href=""https://youtu.be/zsqh1gYBdwE"">https://youtu.be/zsqh1gYBdwE</a>"
8040,Gay
8052,MAMAaaaaaaaaaa
8057,love it! :)
8070,Luv u
8072,I love you Kyle
8090,ily Kylie
8102,STORIME ISC SOOOOOOOOOOOOOOOOOOOO CUTE
8111,Stormi
8133,I lovee
8136,"<a href=""https://www.youtube.com/watch?v=bg_QqcOlWjw"">https://www.youtube.com/watch?v=bg_QqcOlWjw</a>"
8137,I Love you
8142,So fake.
8176,I Love you
8181,RISEEEEE AND SHINNEEE MY BABYY
8210,Hola
8218,I love your videos
8228,"<a href=""https://youtu.be/5UikerOu59M"">https://youtu.be/5UikerOu59M</a>"
8232,؟؟
8254,https://youtu.be/1F6Rmb-IfWU
8258,I Love you
8265,I love you killie
8267,awww
8269,...
8280,"<a href=""https://youtu.be/FUQ7R1LdJXU"">https://youtu.be/FUQ7R1LdJXU</a>"
8297,Is she Carly?
8313,good health for your hands
8328,RiSe AnD sHiNe
8342,Kisses
8347,l love you
8385,nonono
8387,Money money money
8403,love you
8407,Is
8412,Good morning
8415,Love you kylie
8456,"<a href=""https://www.youtube.com/watch?v=SJJnAX4Py-U"">https://www.youtube.com/watch?v=SJJnAX4Py-U</a>"
8461,Love you keyli
8472,MORE DAY IN THE LIFE OF YOU AND STORMIIIIII!!!!
8482,And happy birthday
8486,Instagram: @_haleeema
8488,hola
8505,It&#39;s GTA
8539,It’s my birhtday next week! :)
8540,Hooooovno
8569,hi
8570,hello
8571,Kendall
8573,https://youtu.be/7RFgMF--v7c
8625,i love
8630,Glog
8665,"<a href=""https://youtu.be/d6dq4wG416M"">https://youtu.be/d6dq4wG416M</a>"
8691,Stormy
8698,HER VOICE
8712,JAMES CARLES
8726,Were tyga?
8727,Great Video :)
8730,Perfectttt
8732,Hello
8742,Hola
8749,I&#39;m your fan
8787,"<a href=""https://youtu.be/NZPHRHx3vMA"">https://youtu.be/NZPHRHx3vMA</a>"
8820,Hello
8830,Thank you
8835,CARRY MINATI RESCUE HER
8848,GLOG LMFAOOOO
8869,http://www.youtube.com/shorts/kA7PQ8z6shU
8875,HIS REACTION IS LOVE
8892,I love you so much kylie
8911,ShE gEtS tO cOmE hEre
8950,Hi HARRY
8964,Glog
8965,Glog
8966,.
8968,AAHHHHHHHHHHH
8980,Hi Harry!!!! awwn
8992,"<a href=""https://www.youtube.com/watch?v=oEa2ZPhlA4k"">https://www.youtube.com/watch?v=oEa2ZPhlA4k</a>"
8997,hello
9001,Hello
9039,WHO GETS TO CHOOSE A DIFFERENT CAR EVERY DAYYYY OMG
