Index,Index1,Comments
420,10626,WHY SO MANY SKIN CARE DOT INFO ]:
421,10675,Wow
422,10688,she&#39;s like a princess
423,10728,QUIT SPAMMING
424,10750,Try bareMinerals
425,10775,wow
426,10776,Try proactive! Best advice
427,10791,"
skincarEkit.info"
428,10792,"PLEASE CHECK OUT MY TRANSFORMATION !! AND SUBSCRIBE 
WOULD MEAN ALOT . THANK YOU XXXX"
429,10811,hmmmmm.....
430,10845,Thank you
431,10887,Hilly
432,10940,"
skincarEkit.info"
433,10956,*new
434,10987,good
435,10989,Wow you&#39;re gorgeous
436,11027,"nice!!! 
"
437,11094,YOU ARE GORGEOUS
438,11169,U r gorgeous!(:
439,11175,be confident
440,11197,Ur gorg!
441,11234,"danggggggggggggg
"
442,11244,handsdown!
443,11263,Antibiotics! !
444,11300,"true

"
445,11352,dewet
446,11400,"
skincarEkit.info"
447,11410,Hej
448,11454,"my inspiration &lt;3
"
449,11458,Takes great courage!
450,11477,Good!
451,11511,Created*
452,11522,&lt;3
453,11544,You&#39;re so brave! 
454,11549,*subscribe
455,11590,Wow
456,11615,"wowwwwww :)
"
457,11629,&lt;3
458,11637,what? :o
459,11638,ur gorgeous! !
460,11641,"
skincarEkit.info"
461,11673,ewwwwww
462,11683,Hey your on TV!
463,11689,you&#39;re gorgeous! 
464,11706,Wow your gorgeous
465,11712,Wow
466,11717,"
skincarEkit.info"
467,11740,Yo
468,11746,"wow youre good
"
469,11775,18.183.785 views  WOW
470,11828,"
skincarEkit.info"
471,11839,ur gorgeous
472,11851,FUCK OFF TROLL
473,11869,your eyes &lt;33
474,11892,Make me 
475,11897,STFU
476,11898,Gorgeous &lt;3
477,11900,eww 
478,11905,Your eyes
479,11913,"
skincarEkit.info"
480,11917,I subscribed! :)
481,11952,my biggest fan&lt;3
482,11955,It
483,11962,Great video
484,11997,Awwhhh-3
485,11999,"wowowowowo
"
486,12025,Wow!
487,12061,"
skincarEkit.info"
488,12132,"
skincarEkit.info"
489,12149,"RESPECT
"
490,12170,So good
491,12178,Did u
492,12198,WOW!! NICE! 
493,12219,"
skincarEkit.info"
494,12230,Your my fave
495,12235,So brave?
496,12249,You&#39;re sooo brave...
497,12257,STOP SPAMMING ABOUT THIS SHIT
498,12283,you&#39;re so brave &lt;3
499,12313,ooooooooooooh!!!
500,12314,Thank you!*
501,12319,"brave girl
"
502,12324,foda-se
503,12328,"
skincarEkit.info"
504,12338,Wow!!!!
505,12339,TRY WITH MILK OF MAGNESIA AFTER YOUR MAKEUP :) CONGRATS FROM CHILE
506,12362,Your eyes....*.*
507,12417,"
skincarEkit.info"
508,12431,Omg.
509,12488,YOURE BEAUTIFUL. &lt;3 AND YOU&#39;RE AMAZING FOR MAKING THIS VIDEO.
510,12517,u r great
511,12520,"gorgeous!!!!!! natural beauty
"
512,12527,cool
513,12563,Like;)
514,12592,She&#39;s*
515,12596,Wow! Russian SUBs!
516,12623,WTF
517,12636,I love your eyes
518,12677,Perf.
519,12691,your eyes&gt;&gt;&gt;
520,12697,Good!!!
521,12723,Wow
522,12724,Aren&#39;t you orange?
523,12761,Total respect
524,12762,Girl&quot;
525,12771,"omg, it&#39;s like magic
"
526,12831,U r beuatiful
527,12868,You&#39;re my hero... 
528,12869,Wow
529,12886,Wooow
530,12887,1:15 SHOCKING !!
531,12892,Cool
532,12934,"
skincarEkit.info"
533,12949,Shit
534,13009,I like your eyes
535,13010,THOSE EYESSSSSSSS OMG
536,13043,I like your eyes .
537,13056,I -3 ur eyes :)
538,13058,OMG!!!!!!! WITH YOUR MAKEUP YOU LOOK LIKE TAYLOR SWIFT!
539,13069,so brave
540,13084,Chemical peel!!!!
541,13132,I do
542,13150,"Hellooooooo!!!!!
"
543,13160,nice
544,13174,wow your popular
545,13182,"u r number 1
"
546,13219,"
skincarEkit.info"
547,13238,I love you :)
548,13257,SUBSCRIBED! :) I LOVE YOU! :D
549,13282,Hi Taylor
550,13286,Ghh
551,13343,respect
552,13357,"GIVEAWAY IN MY CHANNEL
CHECK IT OUT!"
553,13366,*skin
554,13412,"did you say utah??
"
555,13417,It
556,13472,Y-you too?
557,13485,cake face
558,13501,nice!
559,13569,*!!!
560,13589,You
561,13614,Thanking for
562,13625,-3
563,13634,omg! ew:(
564,13704,"
skincarEkit.info"
565,13711,eww
566,13732,Flawless!
567,13736,you&#39;re gorgeous
568,13755,thumbs up!
569,13782,WHAT A DIFFERENCE!!!!!!!! 
570,13786,Your eyes! O: &lt;3
571,13837,"
skincarEkit.info"
572,13891,Wow.....
573,13926,NO.
574,13943,FACE IN MAKE UP !!!
575,13997,Love your vids!
576,14036,B.E.A.U.T.I.F.U.L
